"","Viral_Species","Vogue1A.01.61","Vogue1A.01.106","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.71","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.74","Vogue1A.01.77","Vogue1A.01.101"
"201",268746,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"202",278008,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"203",279006,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"204",289367,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"205",298338,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"206",305674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"207",306323,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208",307454,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"209",307467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"210",308707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"211",312349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"212",315953,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0
"213",317878,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
"214",318564,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"215",318566,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"216",318569,0,0,0,0,0,0,0,0,0,1,0,0,0,68,0,0,0,0,0,0,0
"217",320836,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"218",320840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"219",320841,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"220",322019,3,2,3,0,1,7,3,3,0,1,1,5,1,1,2,3,2,0,3,0,2
"221",329157,3,4,1,1,3,1,0,2,85,7,2,1,0,3,1,1,3,0,1,0,1
"222",331278,0,0,0,0,0,0,0,6,0,1,1,2,0,0,1,0,0,0,0,0,0
"223",333750,0,0,0,0,1,1,1,0,0,631,0,0,0,7,0,0,0,0,1,0,0
"224",333754,7,3,5,1,6,9,4,3,4,47,2,2,1,9,0,7,5,7,5,1,2
"225",333757,0,0,13,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,235,0,0
"226",333759,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227",333763,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"228",333765,0,1,0,0,1,0,0,1,1,0,2,0,1,12,0,0,1,0,1,41,1
"229",333766,251,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"230",333767,3,2,1,1,2,0,3,0,4,295,4,3,5,4,2,1,4,2,2,11,6
"231",333769,3206,0,1,0,2,0,0,2,0,2,0,0,1,1,0,1,1,1,0,11,1
"232",333770,11,5,6,0,9,5,5,6,3,4,13,6,2,17,10,3,6,6,9,8,5
"233",333771,0,0,0,0,0,0,4,0,1,22,0,1,1,3,1,0,0,3,1,8,2
"234",333772,0,0,1,1,3,2,10,2,0,40641,1,2,0,0,3,0,0,2,4,15,1
"235",334210,20,9,9,0,11,20,13,3,7,4409,13,5,3,12,12,10,20,11,18,33,11
"236",334211,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"237",336724,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"238",337039,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"239",337041,0,0,0,0,0,1,0,0,0,378,0,0,0,26,0,0,0,0,1,1,0
"240",337042,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"241",337043,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"242",337044,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,0
"243",337050,4,0,6,0,5,4,4,3,0,1,1,2,0,3,3,1,4,2,5,13,7
"244",338323,0,0,9,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0
"245",338326,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"246",338327,0,0,0,0,2,0,3,1,1,8687,1,0,0,0,0,1,0,0,0,0,1
"247",338473,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"248",340016,1,0,0,0,1,0,0,33,38,0,1,0,0,0,0,0,0,0,0,0,0
"249",340907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"250",342409,7,0,0,0,4,2,4,0,3,0,19,2,0,0,4,8,5,0,0,0,1
"251",345201,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"252",346673,75,39,58,12,85,63,42,57,139,16,42,80,7,41,48,23,52,47,49,18,59
"253",346932,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"254",359919,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"255",363555,0,0,12,1,0,0,0,0,4,0,0,8,0,1,0,0,0,0,2,0,0
"256",363628,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"257",368735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"258",372443,120,72,78,23,117,81,60,73,244,23,142,112,11,43,78,42,97,47,59,37,66
